TenureGroup,CityTier,用户数,流失人数,流失率,平均订单涨幅,样本提示
0-6个月,1,1025,241,0.23512195,16.21365854,可观察
0-6个月,2,55,22,0.4,14.96363636,可观察
0-6个月,3,562,162,0.28825623,15.52313167,可观察
13-24个月,1,989,53,0.05358948,15.81193124,可观察
13-24个月,2,70,0,0.0,15.32857143,可观察
13-24个月,3,408,42,0.10294118,15.5122549,可观察
24个月以上,1,300,0,0.0,15.80666667,可观察
24个月以上,2,20,0,0.0,15.25,小样本
24个月以上,3,109,0,0.0,15.70642202,可观察
7-12个月,1,1040,84,0.08076923,15.37307692,可观察
7-12个月,2,82,12,0.14634146,15.04878049,可观察
7-12个月,3,462,60,0.12987013,15.6991342,可观察
新用户,1,312,154,0.49358974,15.42948718,可观察
新用户,2,15,14,0.93333333,14.46666667,小样本
新用户,3,181,104,0.57458564,15.34254144,可观察
